id,park,land,attraction,dis_link,img
41,Epcot,World Nature,Soarin' Around the World,https://disneyworld.disney.go.com/attractions/epcot/soarin-around-world/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/gallery/attractions/epcot/soarin/soarin-gallery07.jpg?1559892150947
42,Epcot,World Nature,The Seas with Nemo & Friends,https://disneyworld.disney.go.com/attractions/epcot/seas-with-nemo-and-friends/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/gallery/attractions/epcot/the-seas-with-nemo-and-friends/seas-with-nemo-and-friends-gallery00.jpg?1573161846190
43,Epcot,World Showcase,Gran Fiesta Tour Starring the Three Caballeros,https://disneyworld.disney.go.com/attractions/epcot/gran-fiesta-tour-starring-three-caballeros/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/gallery/attractions/epcot/gran-fiesta-tour/gran-fiesta-tour-starring-the-three-caballeros-gallery01.jpg?1551208051556
44,Epcot,World Showcase,Frozen Ever After,https://disneyworld.disney.go.com/attractions/epcot/frozen-ever-after/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/disney-world/attractions/epcot/frozen-ever-after/frozen-ever-after-olaf-anna-elsa-16x9.jpg?1635179489414
45,Epcot,World Showcase,Reflections of China,https://disneyworld.disney.go.com/attractions/epcot/reflections-of-china/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/gallery/attractions/epcot/reflections-of-china/reflections-of-china-gallery01.jpg?1551208546463
46,Epcot,World Showcase,The American Adventure,https://disneyworld.disney.go.com/attractions/epcot/american-adventure/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/gallery/attractions/epcot/the-american-adventure/american-adventure-gallery01.jpg?1551208576543
47,Epcot,World Showcase,Impressions de France,https://disneyworld.disney.go.com/attractions/epcot/impressions-de-france/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/gallery/attractions/epcot/impressions-de-france/impressions-de-france-gallery01.jpg?1586806691062
48,Epcot,World Showcase,Beauty and the Beast Sing-Along,https://disneyworld.disney.go.com/attractions/epcot/beauty-and-the-beast-sing-along/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/disney-world/attractions/epcot/beauty-and-the-beast-sing-along/Beauty-and-the-Beast-Sing-Along-16x9.jpg?1632337504571
49,Epcot,World Showcase,Remy's Ratatouille Adventure,https://disneyworld.disney.go.com/attractions/epcot/remys-ratatouille-adventure/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/disney-world/attractions/epcot/remys-ratatouille-adventure/RatatouilleKV_16x9.jpg?1643139695472
50,Epcot,World Showcase,Canada: Far and Wide,https://disneyworld.disney.go.com/attractions/epcot/canada-far-and-wide/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/disney-world/attractions/epcot/canada-far-and-wide/canada-far-and-wide-16x9.jpg?1613071634869
51,Epcot,World Showcase,Harmonious,https://disneyworld.disney.go.com/entertainment/epcot/harmonious/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/vision-dam/digital/parks-platform/parks-global-assets/disney-world/0618ZP_0087DR_JLM_WDW-82237-16x9.jpg?2021-06-30T18:02:29+00:00
52,Animal Kingdom,Discovery Island,It's Tough to Be a Bug,https://disneyworld.disney.go.com/attractions/animal-kingdom/its-tough-to-be-a-bug/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/attractions/animal-kingdom/its-tough-to-be-a-bug/its-tough-to-be-a-bug-00.jpg?1634619911071
53,Animal Kingdom,Discovery Island,Discovery Island Trails,https://disneyworld.disney.go.com/attractions/animal-kingdom/discovery-island-trails/,https://e6zrk7x26xe.exactdn.com/reports13/animal_kingdom_rivers_light_stadium-57.jpg?strip=all&lossy=1&w=1920&ssl=1
54,Animal Kingdom,Discovery Island,The Tree of Life,https://disneyworld.disney.go.com/attractions/animal-kingdom/tree-of-life/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/attractions/animal-kingdom/tree-of-life/tree-of-life-00.jpg?1632755874244
55,Animal Kingdom,Discovery Island,Avatar Flight of Passage,https://disneyworld.disney.go.com/attractions/animal-kingdom/avatar-flight-of-passage/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/attractions/animal-kingdom/flight-of-passage/flight-of-passage-in-ride-16x9.jpg?1639083470749
56,Animal Kingdom,Discovery Island,Na'vi River Journey,https://disneyworld.disney.go.com/attractions/animal-kingdom/navi-river-journey/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/attractions/animal-kingdom/navi-river-journey/pandora-navi-river-journey-full-boat-16x9.jpg?1634752135995
57,Animal Kingdom,Africa,Kilimanjaro Safari,https://disneyworld.disney.go.com/attractions/animal-kingdom/kilimanjaro-safaris/,https://cdn1.parksmedia.wdprapps.disney.com/media/blog/wp-content/uploads/2012/10/gss809174LARGE.jpg
58,Animal Kingdom,Africa,Gorilla Falls Exploration Trail,https://disneyworld.disney.go.com/attractions/animal-kingdom/gorilla-falls-forest-exploration-trail/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/vision-dam/digital/parks-platform/parks-global-assets/disney-world/Gorilla-Bachelors-Waterfall-Resting-16x9.jpg?2022-01-14T21:44:08+00:00
59,Animal Kingdom,Africa,Wildlife Express Train,https://disneyworld.disney.go.com/attractions/animal-kingdom/wildlife-express-train/,https://d3bo0mk5kk7egf.cloudfront.net/imgstore/elements/Wildlife-Express.jpg;width=1200;height=630;mode=crop;scale=both;encoder=freeimage;quality=50;progressive=true
